,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU1,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,None,none,short-distance_coarse,/cenococcum,,,,None,OTU1
OTU2,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella humilis,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU2
OTU3,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula exalbicans,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU3
OTU4,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU4
OTU5,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/pseudotomentella,,,,corticioid,OTU5
OTU6,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Byssocorticiaceae,Byssocorticium,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/byssocorticium,,,,corticioid,OTU6
OTU7,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina rehmii,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_coarse,/wilcoxina,,,,apothecium_(hymenium_on_surface),OTU7
OTU8,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU8
OTU9,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,,,soil_saprotroph,,extremophile_xerophile_and_heat_resistant,,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU9
OTU10,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/hygrophorus,,,,agaricoid,OTU10
OTU11,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula brevipes,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU11
OTU12,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/hygrophorus,,,,agaricoid,OTU12
OTU13,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU13
OTU14,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,,,dung_saprotroph,soil_saprotroph,,,,"soil,dung",,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)",OTU14
OTU15,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita gemmata,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,,,agaricoid,OTU15
OTU16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU16
OTU17,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius bridgei,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU17
OTU18,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU18
